,press,title,emote,date
0,조선일보,코로나 이겨내고 엄마는 ‘희망’을 낳았다,1,20210101
1,조선일보,"靑비서실장 유영민, 민정수석에 신현수",2,20210101
2,조선일보,"이재명 18.2%, 이낙연 16.2%, 윤석열 15.1%..오차범위 내 3강 구도",2,20210101
3,조선일보,"난 그래도 낙관한다, 눈에도 바람에도 지지않기를",1,20210101
4,조선일보,"유영민, 두달 전 비서실장 되나 묻자 “풀 뜯고 사는데 무슨...",2,20210101
5,조선일보,"노영민 “대통령 제대로 보필 못해 죄송”', '김상조 사의 반려한 文대통령 “현안 많아 교체할 때 아니다",2,20210101
6,조선일보,"與후보 적합도, 이재명·이낙연 順… 野선 윤석열·홍준표 順",2,20210101
7,조선일보,"野후보 찍어 정권교체” 49.9%, “與후보 뽑아 정권유지",2,20210101
8,조선일보,"4개월 의식불명 끝에 깨어난 美간호사…', '아가들아, 버텨줘서 고마워",1,20210101
9,조선일보,코로나 사망 하루 1000명… ‘방역 우등생’ 독일의 추락,0,20210101
10,조선일보,"중국 “美, 홍콩부동산 팔려면 우리 동의 받아라",0,20210101
